imo_number,mmsi,name,ship_type,length,width,max_draught,type_name,type_remark
9180853,305976000,AMBER TRADER,70,88,13,7.0,Cargo,All ships of this type
8768232,538010660,NOBLE RESOLUTE      ,32,8,62,5.8,Towing: length exceeds 200m or breadth exceeds 25m,NaN
9270062,235066953,KINGDOM OF FIFE     ,0,10,50,4.5,Not available (default),NaN
9285134,311831000,PODHALE,70,169,21,9.9,Cargo,All ships of this type
9788875,371915000,CARIBBEAN GLORY     ,0,287,49,11.0,Not available (default),NaN
1025112,232058586,HYDROCAT 60         ,40,14,13,0.0,High speed craft (HSC),All ships of this type
9037173,255805390,CYPRUS CEMENT       ,70,75,22,7.2,Cargo,All ships of this type
9488839,266466000,ASTREA              ,80,104,25,8.3,Tanker,All ships of this type
9489194,238296000,VINJERAC,80,165,29,7.3,Tanker,Hazardous category B
9342102,246375000,EN AVANT 1          ,32,10,16,4.1,Towing: length exceeds 200m or breadth exceeds 25m,NaN
9246566,212641000,WEC VAN GOGH        ,73,129,5,8.7,Cargo,Hazardous category C
1038066,219032859,IMPRESSER           ,40,17,16,0.0,High speed craft (HSC),All ships of this type
9922940,413343190,ZHONG REN 122,99,21,148,7.5,Other Type,No additional information
5185881,244585000,LUCIANA  ,36,39,0,2.4,Sailing,NaN
9922603,477949300,OOCL SWEDEN         ,71,131,268,13.7,Cargo,Hazardous category A
9621041,636021611,LILA NOLA           ,70,147,33,10.5,Cargo,All ships of this type
9288863,518999464,ECTOR               ,80,209,41,14.2,Tanker,All ships of this type
9253727,310749000,TORONTO EXPRESS     ,70,237,57,10.5,Cargo,All ships of this type
9737785,235114986,SOLENT FLYER        ,40,2,20,0.0,High speed craft (HSC),All ships of this type
9466714,305850000,SLOMAN HERA         ,80,122,23,6.0,Tanker,All ships of this type
9977426,255915667,ELBINSEL            ,70,158,12,8.8,Cargo,All ships of this type
9586174,218356000,GRIMMERSHOERN       ,90,24,14,3.2,Other Type,All ships of this type
9577422,234603904,IRON DUKE           ,70,164,32,10.8,Cargo,All ships of this type
9729087,248030000,CMA CGM CARL ANTOINE,71,115,185,12.2,Cargo,Hazardous category A
9597654,636021059,ECO CROSSFIRE       ,70,154,26,9.4,Cargo,All ships of this type
9664627,538010630,NOBLE INTEGRATOR    ,0,23,66,15.0,Not available (default),NaN
9566746,235089046,STOLT REDSHANK      ,82,70,20,5.5,Tanker,Hazardous category B
957752,235081732,   ACCORD_BCK_262   ,30,0,23,5.0,Fishing,NaN
9360051,258082000,BB WORKER           ,52,15,22,5.9,Tug,NaN
9434553,538004701,MARILOULA           ,70,250,42,17.6,Cargo,All ships of this type
9480124,255803890,AUGUSTA LUNA        ,79,130,14,8.1,Cargo,No additional information
9612636,245179000,AEOLUS,70,26,113,8.0,Cargo,All ships of this type
9360439,636021941,PRELUDE             ,89,151,31,11.0,Tanker,No additional information
9312195,245222000,ENDEAVOR,79,125,11,6.9,Cargo,No additional information
9625231,246458000,HOOGVLIET,79,70,19,5.1,Cargo,No additional information
8979350,227142900,F/V ND BOULOGNE,30,8,17,3.2,Fishing,NaN
9851969,250005981,ARKLOW ARCHER       ,70,100,20,5.1,Cargo,All ships of this type
9323376,677088500,MARABELLA SUN       ,89,175,20,11.7,Tanker,No additional information
9851361,244070300,UK150  POLAR,30,10,22,5.2,Fishing,NaN
9921855,352978124,GCL PARADIP         ,70,198,31,7.5,Cargo,All ships of this type
9833046,211801150,AMRUMBANK,30,11,21,0.0,Fishing,NaN
9609665,538008088,FEDERAL YAMASKA,70,152,28,6.8,Cargo,All ships of this type
9922598,477928600,OOCL VALENCIA       ,74,131,268,11.2,Cargo,Hazardous category D
9923009,636020569,ALFIOS I            ,80,202,48,14.1,Tanker,All ships of this type
9333644,257068010,ROTSUND             ,70,17,63,5.0,Cargo,All ships of this type
320,244046976,RALF DIETER@@@@@$,20,105,320,2.0,Cargo,No additional information
1000000,232000000,ACT                 ,20,0,0,2.0,Wing in ground (WIG),All ships of this type
9433327,305302000,BBC AUSTRIA         ,70,106,14,7.8,Cargo,All ships of this type
1007809,235101455,WONDERLAND          ,37,25,5,0.0,Pleasure Craft,NaN
8769731,259081000,ISLAND INNOVATOR,90,27,78,14.2,Other Type,All ships of this type
9973004,538011021,ACASTOS             ,70,167,19,10.4,Cargo,All ships of this type
9851775,209535000,NORDEN              ,70,78,12,6.1,Cargo,All ships of this type
9727962,229835000,MULTRATUG 28        ,90,13,29,5.1,Other Type,All ships of this type
9802164,241618000,SEA PANTHER         ,89,214,36,8.5,Tanker,No additional information
2318710,244620974,COTRANS 10          ,70,59,11,3.0,Cargo,All ships of this type
9648506,228418700,JEANNE BARRET       ,90,17,23,3.5,Other Type,All ships of this type
9393553,210843000,AAL GENOA           ,74,145,15,6.6,Cargo,All ships of this type
3051536,205344890,ADIOS,70,35,4,0.0,Cargo,All ships of this type
9587453,538010264,TAILWIND,70,196,33,7.3,Cargo,All ships of this type
9195212,255805980,RIX PARTNER,99,74,14,5.3,Other Type,No additional information
9617959,219484000,HAFNIA LIBRA        ,89,150,33,11.2,Tanker,No additional information
